Tweets	Compound	Analysis
vaccines work by teaching your immune system to recognise pathogens.so by using vaccines you are h… 	0.296	Positive
“mystifying” that india is not on the red list, says prof altman. presumably because johnson doesn’t his holiday th… 	0.4019	Positive
people are just determine to demonise the vaccine. but it’s like no other that you or your children have had. howev… 	0.1154	Positive
can’t johnson just do a zoom with modi? 	0.0	Neutral
important info for any other #trans folks wondering about the interaction of hrt and the covid vaccine 	0.2023	Positive
that american phrase ‘a clear and present danger’ comes to mind about boris johnson. he calls himself a patriot and… 	0.3818	Positive
new jcvi advice on use of the astrazeneca covid-19 vaccine 	0.0	Neutral
chile moved fast and fixed things. china’s sinovac covid-19 vaccine 67% effective in preventing symptomatic infec… 	0.4588	Positive
that irresponsible bastard johnson,  still allowing plane loads of people from india to land in this country every… 	-0.7506	Negative
both covid-19 and 1st vaccine for it seem to have significantly exacerbated my tinni… 	0.0	Neutral
"boris johnson: ""sounds like a perfect time to pop over for a visit"" "	0.7351	Positive
what are some side effects of the covid-19 vaccine?side effectshaving a painful, heavy feeling and tenderness i… 	0.1027	Positive
russia’s fast-track coronavirus vaccine draws outrage over safetythe immunization is the first approved for wides… 	-0.128	Negative
my wife is getting the vaccine today after been miss from the priority groups. i have to admit i'm more excited about… 	0.4391	Positive
coronavirus digest: red cross warns of vaccine 'fake news' 	-0.5423	Negative
how did you get on if you have had a covid-19 vaccination? astrazeneca (az) or pfizer - been mostly ok? (maybe just… 	0.3736	Positive
what is the difference? #vaccinepassport 	0.0	Neutral
this is such a british way of measuring vaccine use 🤣 	0.0	Neutral
i’m undecided on the principle of vaccine passports. can definitely appreciate both sides of the ethical debate. bu… 	0.7783	Positive
whoop whoop, #covid19 i have had my first jab and very proud to wear this badge. 	0.5256	Positive
"what a #£&amp;% got your priorities all wrong-   ""footballers should be offered coronavirus vaccine soo… "	-0.4767	Negative
covid-19 jab time! 🤞#covid_19 #covidvacccine #jab #letsbeatcovid19 #thankyounhs #astrazeneca #mask… 	0.0	Neutral
go  great to see the vaccine roll out in #malawi      … 	0.6249	Positive
no side effects from my astrazeneca #covid19 #vaccine  not even a sore arm 	-0.0232	Negative
_dubois   a  news reader decided in answer to the eu covid-19 vaccine scandal  to use th… 	-0.4404	Negative
second jab for popski! what are you up to today? #morningcommute #vaccination #secondjab #friyay #covid19… 	0.0	Neutral
i’m absolutely delighted to have had my first jab of the #coronavirus vaccine and due to have my second next week!!… 	0.6342	Positive
#covid19 jab today can’t wait 	0.0	Neutral
i’ve just booked my covid jabs.   relatively easy process 	0.4404	Positive
my wife has had a jab, but shielding, i haven’t and not eligible yet, so, who’s the safest to go shopping? #covid19 #nhscovidvaccine 	0.6054	Positive
well yes but #stanleyjohnson had to go and clean his villa... #covid19 	0.714	Positive
a vaccine that has not properly been tested, for babies and children? !! 	0.0	Neutral
help the nhs in the fight against covid-19 by letting us know how you feel about the vaccine, so we can continue to… 	0.0258	Positive
my wife and i had our first covid-19 vaccinations (astrazeneca) today. with thanks to our fantastic  best in… 	0.8934	Positive
how to put people off having a vaccine. very misleading headline 	-0.4576	Negative
i do find it mildly amusing that #covid19 jab experiences has now replaced the british weather as the main topic of ‘small’ conversation 🤔 	0.3818	Positive
now being a certain age  received the vaccine this morning at st peter's pavilion. in and out in a matter of minut… 	0.296	Positive
, what has been your biggest failure in the last 12 months #johnsoninept 	-0.5106	Negative
covid-19 vaccine dose one done - it’s tested, safe and effective.amazingly well organised centre in north shields… 	0.6124	Positive
wonderful to learn that  have given the first dose of covid19 vaccine to more than half our population… 	0.5719	Positive
no stats, no distractions, just the face of someone walking to the doctors for their 1st #covid19 vaccine dose.… 	-0.6597	Negative
a couple of covid-19 contractions and 1st covid jab later...#covid_19#covidvacccine#astrazenecaoxford… 	0.0	Neutral
johnson has very big election day may 6 - councils, mayors of big cities inc london, scotland wales parliaments, po… 	0.0	Neutral
i saved my u perform active collagen gel until after my covid-19 jab today as a little ‘treat’ to myself for being… 	0.6705	Positive
watch how #covid19 has spread through europe. finally the european medicines agency (ema) has approved the az vacci… 	0.4215	Positive
amongst the avoidable chaos in brazil, my dad just got his first covid-19 jab. i couldn't be more proud of this one… 	-0.7558	Negative
so my parents have had their 2nd #covid19vaccine postponed because 'they have to test the batch' again. but everyth… 	-0.1027	Negative
had the first dose of the coronavirus vaccine! no side effects yet.  had the astra zeneca one 	-0.3595	Negative
take that covid-19 #nhscovidvaccine 	0.0	Neutral
really excited to have had my 2nd #pfizervaccine this morning  a massive thank you for running such a well oiled… 	0.7425	Positive
anyone with concerns about vaccine side effects should read this. 	0.0	Neutral
first #covid19 #astrazeneca does done. in and out in less than 10 minutes!highly impressed by the nhs. 	0.5255	Positive
#covid19 i’m all pfizered up 1&amp;2 	0.0	Neutral
