Tweets	Compound	Analysis
#covid19 jab day two today #covidvaccination #jabdaytwo 	0.0	Neutral
" _ireland ""the injections are dangerous biological agents that have the potential to cause subst… "	-0.4767	Negative
1st dose vaccinations available to #doncasterisgreat residents today. no need to book, just turn up #vaccine… 	-0.296	Negative
🤔i'd like to learn why  isn't going fully online'poorer nations struggling to access covid-19 vaccines may… 	-0.144	Negative
" ""the injections are dangerous biological agents that have the potential to cause substantially grea… "	-0.4767	Negative
fda in brief: fda authorizes longer time for refrigerator storage of thawed pfizer-biontech covid-19 vaccine prior… 	0.0	Neutral
right so if the media could stop scaremongering now that would be great! #coronavirus #covidvaccine 	0.4926	Positive
vaccinating people with both the oxford–astrazeneca and pfizer–biontech covid-19 vaccines produces a potent immune… 	0.0	Neutral
just received my first vaccine!! so excited, i don’t even care if i feel like  this weekend. #pfizer #covid19… 	0.8556	Positive
covid-19 infections increase, #taipei seeks help from us in obtaining vaccines 	0.6124	Positive
great to be helping out on the ground in  to help our amazing  roll out this incredible vaccine d… 	0.9153	Positive
#japan: state of emergency set to widen, more covid-19 vaccines approved 	0.1189	Positive
just booked my first and second covid-19 vaccination jabs at the devizes corn exchange, i am so, so happy!!!! 🥳.  	0.0	Neutral
just been jabbed up  #covid19	0.0	Neutral
fans may have to show proof of covid-19 vaccine to attend live concerts 	0.0	Neutral
it's just occurred to me, that the vaccine is a gateway drug. a gateway drug to freeeeeedoooom!#covid19 #lockdown2021 #hotgirlsummer	0.0	Neutral
just booked my #covid19 jabs 🥳  #getthejab 	0.0	Neutral
brilliant thread on understanding vaccines' efficacy  	0.5859	Positive
anyone who feels they need a home visit for the covid-19 vaccine, please contact vaccine.bm, or call the hotlin… 	0.3182	Positive
3 people have died from adverse #covid19 vaccine effects, although the scottish statistics agency didn’t specify wh… 	-0.7269	Negative
    mention of ebola.says mrna vaccines have been tested on… 	0.0	Neutral
what do a band from the 60s know about this vaccine 	0.0	Neutral
just had my 2nd az jab.a big thank you to all the staff at #robinparkwigan who are working hard and doing a fantas… 	0.2732	Positive
thanks nhs for getting me the covid-19 vaccine. well organised and quite quick.	0.6124	Positive
if you would like to get your az vaccine today. head down to triton street before 7pm. available to those aged 40+  	0.3612	Positive
 we will debate this for years. covid-19 kills. vaccine gone through same process as others (albeit sho… 	-0.5423	Negative
anyone who is 33 like me in the uk:i just booked my #covid-19 #vaccine, even though the #nhs website states it’s… 	0.3612	Positive
32 before july? you can book your covid vaccine now! 	0.0	Neutral
#vaccinated #coronavirus i’m on board people #fridayfeeling 	0.0	Neutral
  however, a requirement to trial novel covid19 vaccines to go anywhere (when the main… 	0.3182	Positive
i'm now fully covid-19 vaccinated!  (hope less side effects this time!) i had the same wonderful nurse as last tim… 	0.6467	Positive
ghana to be removed from eu money laundering list; selected as manufacturing hub for covid-19 vaccines in africa 	0.0	Neutral
dating apps team with white house to promote covid-19 vaccines 	0.3818	Positive
britain in talks to waive covid vaccine patents to improve global access to jabs: the uk government is in talks abo… 	0.4404	Positive
the link now works if you are 32+happy jabbing  	0.0	Neutral
high time #g20 steps up to fully fund the act-accelerator for #covid19 vaccines, therapeutics &amp; diagnostics to ensu… 	0.0	Neutral
talk about scaremongering! of course covid will change over time. and so will the vaccines. case in point, the flu… 	0.0	Neutral
us &amp; eu are prepared to allow countries to have licences to produce their own vaccines now, but u.k. says no.  they… 	-0.2263	Negative
just booked my jab in london. get on it my fellow 32-year-olds! #covid19 #covidvaccine 	0.0	Neutral
urgh...second vaccine done but sweating, headache and aching...#vaccinesideeffects #covid19 #astrazeneca	0.0	Neutral
we vaccinated 950+ #doncasterisgreat residents today at #doncaster mosque. this community based model is going from… 	0.0	Neutral
⭐️covid vaccine update⭐️are you pregnant or breastfeeding and want to know what your options are for the covid-19… 	0.0772	Positive
covid-19 vaccines are to be offered to those aged 25 to 29 from today.#covid | #coronavirus 	0.0	Neutral
had my 1st vaccine yesterday morning. 	0.0	Neutral
vaccines now open to 𝐚𝐠𝐞𝐬 𝟑𝟒 𝐚𝐧𝐝 𝐨𝐯𝐞𝐫if you turn 34 before the 1st of july, you are now eligible.and prince wi… 	0.0	Neutral
people aged 34 and over can get the covid-19 vaccine or if you’ll turn 34 before 1 july 2021 then you’re eligibl… 	0.0	Neutral
wee vaccine with the lads 	0.0	Neutral
yeah - #coronavirus vaccines now available for everyone in england aged 34+ great newsthough i can’t seemingly… 	0.743	Positive
 everyone over 18 will have had an offer of a #covid19 vaccine from powys teaching health board *by the end of thi… 	0.0	Neutral
received my first #covid19 #pfizer jab this morning at ’s tendring centre. well done , the w… 	0.2732	Positive
ok y'all, if you're 34 and over, go get jabbed now! it's your turn! 	0.4184	Positive
double-vaccinated with bonus poppies. we can do this with the #nhs#poppies #covid #coronavirus #vaccines… 	0.5423	Positive
when you get the call, get the jab 	0.0	Neutral
just a little pricki'm happy to be fully vaccinated. i know its not everyone's choice but it's most definitely m… 	0.7352	Positive
  i done a fair bit of research in to the different covid-19 vaccines now available and h… 	0.3182	Positive
obligatory fully covid-19 vaccinated photo! my 5g signal is now amazing!!! thank you bill gates 🤣 #covid19… 	0.816	Positive
great he got the vaccine - but can we take a closer look at his beautifully toned arm!?! ❤️ 	0.8475	Positive
as someone who normally detests needles and injections, i am weirdly excited for my vaccine!roll on next saturday… 	0.126	Positive
jab 1 done ✅ staff were brilliant. it was quick and painless. #pfizer #pfizervaccine #covid19	0.7184	Positive
covid-19 astrazeneca jab pt,2. very organised although a little busy for me. anxiety is racing but needs must i sup… 	-0.09	Negative
#nepalneedsvaccine vaccines are the need of the hour! 	0.0	Neutral
timely documentary soon to be released by budding documentary filmmaker  from  “the big jab”… 	0.0	Neutral
i'm now a member of the greatest club in the world (at the moment) ♥️ #fullyvaccinated #covid19 #astrazeneca… 	0.6369	Positive
#vaccineswork for everyone, and looks like even #princewilliam has muscled his way in...#covid19 	0.3612	Positive
given the number of people coming in to get vaccinated at the , it’s remarkable how friendly, calm an… 	0.8555	Positive
so happy to have had my 1st #covidvaccine today - #princewilliam &amp; i can compare notes later! it was much earlier t… 	0.6468	Positive
taxi duties today, sat in the car park  in cannock whilst my better half gets her first vaccine.  she… 	0.4404	Positive
i'm asking governments and big pharma to drop #covid19 patents, and get affordable vaccines to everyone, everywhere… 	-0.2732	Negative
scaremongering toss pots many studies show that the current jabs work against this variant the only people that’ll… 	0.0	Neutral
today, i received my first dose of biontech, pfizer covid-19 vaccine 🤞 	0.0	Neutral
double jabbed fulling vaccinated #covid19 #fightcovid19 #covidvacccine #livelife @ ramsgate 	0.0	Neutral
covid vaccinations are now open to anyone aged 34 and above. i’ve booked my jab just now and will be getting my fir… 	0.0	Neutral
"should covid-19 vaccine passports be made compulsory? i said ""no"". what do you think?  via "	0.0	Neutral
if you are aged 34 or over, or if you turn 34 before 1 july 2021, you can now book your #covid-19 #vaccine.don’t… 	0.0	Neutral
well it’s over 2nd jab done and dusted #covid19 #vaccination #done 	0.2732	Positive
2nd dose of nanobots administered this evening.  fuck you covid-19 #astrazeneca #nhscovidvaccine 	-0.5423	Negative
i got vaccinated at the sse arena and they have coronavirus radio 🤣🤣🤣	0.0	Neutral
19 may review the us food and drug administration (fda) authorised undiluted, thawed pfizer-biontech covid-19 vacc… 	0.0	Neutral
this is just the best news in ensuring we can continue to offer a service to our pregnant ladies with no vaccine wa… 	0.6249	Positive
great news in this ever advancing vaccine programme....  _wirral  	0.6249	Positive
v proud of  (husband) and his part in the special jabbing of the nation.#covid19#covidvaccine… 	0.7003	Positive
what a relief! fear of waste of vaccine has meant a huge amount of resource and stress goes into getting people in… 	-0.5707	Negative
may 20th - “the new triple variant of coronavirus is more deadly and may not be contained by the vaccines”may 23r… 	0.0	Neutral
a week or so of news and scaremongering, then they release that the vaccine works  	0.0	Neutral
 thank you science thank you britain‍⚕️thank you  elated to get my first covid-19 vaccine at the… 	0.8481	Positive
coronavirus latest news: astrazeneca vaccine is 90pc effective, new real-world data suggests… 	0.4767	Positive
is that barry doing that jab #barry #eastenders or  moonlighting again 🤣 	0.0	Neutral
most of the country has low rates of covid.deaths have been below average for 9 weeks.most of the uk vaccinated… 	-0.2732	Negative
"they were 'partially vaccinated""??? what does that mean? 🤔 "	0.0	Neutral
further easing of restrictions in the uk, and first covid-19 jab booked for this afternoon. today is going to be a good day!	0.636	Positive
the vaccine bus is back at essa academy in #bolton. people are being urged to go along as the town tries to tackl… 	0.0	Neutral
