Tweets	Compound	Analysis
_80 _LISO The VECLAM belongs to the family of macrolids, drugs approved by the AIFA for Cur ... 	0.4215	Positive
a few countries have ordered enough #covid19 vaccine doses to vaccinate their entire populations 3x over! tell lead… 	0.0	Neutral
Presented by the Marche Region the Anti Covid-19 vaccines plan for age group 65-69 years. 	-0.3182	Negative
"""Security of anti-covid-19 vaccines: notifications of delayed local reactions"" "	0.128	Positive
Coronavirus, vaccine centers in Lazio and Rome. Between Pfizer, Modern and Astrazeneca, here's where to do them (and the calendar ... 	0.0	Neutral
# Covid19, therefore, there are better chances of winning to scratch cards, rather than a thrombosis comes ... 	0.7964	Positive
#bloodclots and #vaccine one research in #norway found a link 	0.0	Neutral
#covid19 #astrazeneca 	0.0	Neutral
Germany and France towards new Lockdown. Trains assaulted in Paris: the vaccines alone will not stop the third ... 	-0.5442	Negative
Finally to my dear 95 I can book the anti-Covid19 vaccine then Monday immediately at the pharmacy x make the reservation ... 	0.3818	Positive
instead x mom and pope is still not now ... and I don't do it x my choice # vaccine # covid19 	0.0	Neutral
"""The benefits of #astrazeneca exceed risks"". Continue to send amateurs to the discussion of the communication ... "	0.3818	Positive
almost 700 thousand a day .... #vaccino #astrazeneca # covid19 #coronavirus 	0.0	Neutral
I can't wait to be vaccinated even with #astrazeneca (I'm a reduce of the # Covid19 - a year ago es ... 	0.0	Neutral
Do we want to talk about #francia that limits the #astrazenaca vaccine only to those over 55? It is not that because of ... 	0.0772	Positive
Surely as health workers makes impression that the sponsorship of one of the vaccines is bait on Twitter. 	0.5859	Positive
Match the vaccine countryside #unibas # Covid19 	0.0	Neutral
someone is undecided ?? 🤣🤣🤣 # Putin #Pfizer #SastraZeneca #moderna #vaccinoanticovid #vaccinocovid # vaccine ... 	-0.3094	Negative
My grandmother did the second dose of the #Pfizer vaccine: a liberation. Yet this morning she called my Madr ... 	0.0	Neutral
(2 / n) may perhaps happen with the vaccine. But in the case of the patient's pills it is ... 	0.0	Neutral
The Britishes do not have the general🤗In a single day administered more than 660 thousand doses of vaccine: the record of ... 	0.0	Neutral
But why don't you do vaccines instead of playing with markers? # Covid19 #Sardegna #zonabianca #zonaarancione # zonarossa ... 	0.2023	Positive
Finalized the candidacy to offer our event space to #brera #milano as potential vaccine structure ... 	0.0	Neutral
The fear dominates. Fear of the vaccine, of the disease, for deaths. The # Covid19 will not go too, too few vaccines ... 	-0.7351	Negative
First dose of the covid-19 vaccine taken. 	0.0	Neutral
20 nurses for administration anti-covid-19 vaccines in Rome 	0.0	Neutral
Well hey ... when he says something sensible, we must recognize it. 100 days means finals of August. 500mil vaccines day ... 	0.2732	Positive
Coronavirus, injected simultaneously by mistake 6 doses of Pfizer vaccine to a student: under observation ... 	-0.34	Negative
"I understand you like to say ""there will be no click day"" but reservations are exhausted. # vaccines # Covid19 ... "	-0.4767	Negative
In Veneto we book the covid-19 vaccine already from Friday 7 May to 16.00 and you as usual speak to V ... 	0.0	Neutral
I #Vaccino tomorrow. I enjoy like an orangutan! #Vaccinations #vaccinicovid #pfizerbiontech #pfizervaccine #covid # covid19 #coronavirus 	0.7177	Positive
Here are those who are the terrorist criminal friends of 6 doses of vaccine injected x am I wrong? ... 	-0.8442	Negative
Coronavirus, Merkel: 'No Astrazeneca vaccine for those who are less than 60 years old 	-0.296	Negative
I feel spring air, and you?! #mare #spring #love #sun # Covid19 #liguria #Italia # Stopcovid19 # vaccines ... 	0.0	Neutral
"In the decree, which is about to be approved, ""a great novelty"", in Italy only red or orange areas up to 30 a ... "	0.7845	Positive
My parents made the first vaccine # Covid19 at #Vidor today. # ulss2 .... A epic but have made it! Not ... 	0.0	Neutral
johnson &amp; johnson covid-19 vaccine is delayed by a u.s. factory mix-up. workers at a baltimore plant manufacturing… 	-0.2263	Negative
Everyone accuses Conte because he has not financed #astrazeneca, a bit of healthy reading is good for the spirit! 	0.636	Positive
I don't understand anything about vaccine. I am proud because I live more than experts. You have done so much to convince me of ... 	0.6557	Positive
#teampfizer if you are eligible to, get vaccinated!se potete farlo, vaccinatevi!#covid19 #vaccine #pfizer… 	0.0	Neutral
According to Delcy Rodriguez would be 4.6 million powerful who received his vaccine today. 	0.4215	Positive
«the president  announced that he would support a waiver gutting patent for american covid-19 vaccines. this might… 	0.4019	Positive
It is clear that the spike protein of the vaccine, without virus, does not reproduce ... 	0.3818	Positive
So we realized that the purpose is a vaccine a year for life. And if you saw the prices fixed for ot ... 	0.0	Neutral
✅ Today I did the second dose of vaccine #pfizerbiontech. I'm very happy and finally now I can go to ... 	0.6115	Positive
#vaccino #astrazeneca yet another case 46 years teaching in Palermo in Fin of life 	0.0	Neutral
It is expected to be positive to Coronavirus even after the vaccine via: 	0.5574	Positive
For #Salvini a tweet worth more than a thousand vaccines # Lockdown2021 # Covid19 #Pandemia #Vaccino #fontandimettiti 	0.2263	Positive
28 March 2021, workstation 28, h 16:08. #iomivaccino #astrazeneca # covid19 #vaccino #vaccine 	0.0	Neutral
They say the vaccine changes the genetic code. They say, I don't know. # Covid19 #Vaccino #Vaccine 	0.0	Neutral
The Covid19 vaccine destroys the people's immune system !!! 	-0.5067	Negative
Let's vaccine. just so we will return to live. # Covid19 #vaccination #vaccinocovid 	0.0	Neutral
"rt:summer &amp; international travel is just around the corner. ""vaccine passports"".viva l'estate :fyi;… "	0.0	Neutral
#astrazeneca 	0.0	Neutral
The nominated are the Italiote variants resistant to vaccines # Covid19 	0.0	Neutral
Goodnight world! China and Cuba work in a generic vaccine that protects different types of coronavir ... 	0.3802	Positive
#sputnik great name for a #vaccine - at least it is memorable!  #covid19vaccine 	0.6588	Positive
_Ansa La Merkel said the agenda of the #Speranza government. But the light at the bottom of the tunnel ie the vaccines to which if ... 	0.0	Neutral
#vaccino #moderna ✔️ first dose and now we wait half #maggio #genova good organization #liguria # covid19 	0.4404	Positive
booster shots against the covid-19 coronavirus may become a regular necessity, according to david kessler, chief sc… 	0.0	Neutral
All the accounts and figures reserved for the business of the century: vaccines. From Report. # Covid19 #covidvaccine # vaccines ... 	0.0	Neutral
Beautiful explanation of how a vaccine works to see and show 	0.5994	Positive
johnson &amp; johnson says it will supply 200 million coronavirus vaccines to europe in the second half of april @ casa… 	0.0	Neutral
Dragons and consorts have vaccinated waiting for their turn and with vaccine available, or astrazine. 	0.0	Neutral
new: premier mario #draghi and his wife were vaccinated for #covid19 with the #astrazeneca jab today. the couple,… 	0.0	Neutral
what do you say we want to commission these Italian regions that do a bit like it seems with vaccine plans, who ... 	0.4215	Positive
countering #covid19 vaccine hesitancy: watch the  webinar 	-0.2263	Negative
#tafkaaz the artist formerly known as #astrazeneca #vaxzevria rebranding!#neverajoy #covid19 #vaccine 	0.0	Neutral
here we can't take it anymore ... vaccine or not ... # covid19 	0.0	Neutral
# Covid19: the vaccines work. Crollo of cases between healthcare professionals and RSA guests. 	0.0	Neutral
my other dear than refueling are millions of unused vaccines 	0.3818	Positive
"it can also rename it ""kitemmuort vaccine"", just do it! #Vaccini #SastraZeneca #VaxzEvria # Covid19 "	0.0	Neutral
If you hurry up with the vaccines we wouldn't be here to make useless discussions on the curfew time # Covid19 ... 	-0.4215	Negative
imagine being eligible to get the covid 19 vaccine and refuse, when there's so many people dying of covid19 and not… 	-0.296	Negative
"""I agree that you have to vaccinate from age without exceptions"" # Covid19 # vaccines ... "	0.3612	Positive
reservation made ... On May 5 I get my 1st dose of anti-covid-19 vaccine I am very exciting 	0.5413	Positive
There are undeniable advantages to have 60 years in Rome. For example vaccine AZ, 25/04 and 12/07! Daje! #acivictuty # Covid19 	0.4738	Positive
toulì. #johnsonandjohnson 	0.0	Neutral
We clear things. After all, do you believe the vaccine after all? # Covid19 #coronavirus # AstraZeneca ... 	0.3818	Positive
heard webinar of the #vaccines. I know how much doctors now: little. But I also know that we can't do without it. Daje. #COVID-19 	0.0	Neutral
many of us are hoping vaccines against coronavirus will be our route out of lockdown, enabling us to reclaim our ol… 	0.4215	Positive
"in medicine, as in any other scope, the ""zero risk"" does not exist .. #johnsonandjohnson #vaccine # covid19 "	-0.2732	Negative
#Staseraitalia #fuoridalcoro #ottoemezzo #dimartedi #pdioti #johnsonandjohnson # 13aprile #coronavirus 	0.0	Neutral
"""There is now the risk assessment"" # Covid19 #johnsonandjohnson "	-0.2732	Negative
The probability of 1 / 1,000,000 absolutely returns to my personal #risk appetite. #johnsonandjohnson #Fateccine # Covid19 	0.0	Neutral
#iosonovaccinato #vaccine #vaccinata #modernavaccine #moderna #vaccination #vaccinationcovid #vaccinated #covid19… 	0.0	Neutral
Opening reservations Covid vaccines in .official for age groups. #Vaccinations # Covid19 @ Borgo ... 	0.0	Neutral
Pure in Russia and South Africa are falling infect and deaths, and have vaccine ... 	-0.1531	Negative
Presented by the Marche Region the Anti Covid-19 vaccines plan for the age range 60-64 years. ... 	-0.3182	Negative
Too bad all vaccines are terminated except those whose administration is not ... 	-0.5423	Negative
The fact that the EU is skeptical on the suspension of vaccine patents against the # Covid19 is yet another proof that ... 	-0.3182	Negative
Vatican: 300 poor people will receive the Anti-Covid vaccine - Vatican News 	-0.4767	Negative
The vaccines administered lately exceed 500mil. The goal of General Figliuolo seems to be achieved ... 	0.0	Neutral
"Covid Today Veneto, Zaia: ""vaccine without a reservation for everyone"". The Bulletin Via ... "	0.0	Neutral
Lazio, vaccines at the pharmacy and family doctors # Covid19 #Covid # Covid_19 #Vaccino 	0.0	Neutral
It is expected to be positive to the coronavirus even after the vaccine (and there is no need to worry) ... 	0.34	Positive
But if the # Covid19 continuously suits what Cazzarola serves a vaccine prepared in a few months and Perdipiu 'for the virus of origin? 	0.2263	Positive
isernia, italy - march 28: nurses of the mobile health team of italian army give the pfizer/biontech covid-19 vacci… 	0.0	Neutral
A beautiful news! #Vaccino #Johnsonandjohnson # Covid19 #Campagninal 	0.636	Positive
Published the study in preprint on cases of thrombosis from vaccine AZ, and identified the antibodies possibly imp ... 	0.0	Neutral
Until I can leave home quietly, without curfew, without vaccine, without travel or concerts, s ... 	-0.0516	Negative
extra mozzarella di bufala on the pizza is goodextra useless info on vaccine’s informed consent is badwake up 	-0.2263	Negative
Return to Travel # Travel Tour # Covid19 # vaccines # Sicily # @ Opera Boutique Rooms 	0.0	Neutral
At this point I would be for the announcement of press conferences. #SastraZeneca #johnsonjohnson # Covid19 	0.0	Neutral
mmm And what will our Ursula be made? 🤷♂️ #strazeneca #pfizerbiontech #moderna 	0.0	Neutral
Coronavirus, son: I confirm 500 thousand vaccines at the end of April # news ... 	0.0	Neutral
I missed little to the vaccine, at least so they said! But the Covid screwed me in the arrival straight. And it's not one if ... 	-0.5848	Negative
The advertising progress of Singapore for vaccines (via _tikaram) ✨✨✨ 	0.4215	Positive
When you don't want to think that you have 40 years but it reminds you punctually .Daje with the vaccine! 	-0.1035	Negative
#Roma Walk in this period! # Covid19 #pfizer #vaccino #astrazeneca #spring 	0.0	Neutral
vaccine done ✌️...#vaccinationdone✔️  #vaccine #pzifer #covid #letsgetvacccinated #vaccinated #covid19… 	0.0	Neutral
Here, give me any vaccine, but even to get vaccinate in the cinecittà studios, go on foot. 🤣 	0.0	Neutral
If the vaccine against the Covid-19 will not be for everyone, it will never come out of this pandemic. It's a matter of Giust ... 	0.0258	Positive
The Covid19 vaccine was done in a month in Germany thanks to two scienti ori ... 	0.4404	Positive
False vaccines arrive 	0.0	Neutral
vaccine campaign: today the reservations for those who have 60 years completed the information ... 	0.0	Neutral
in the covid-19 vaccine push, no one is speaking gen z’s language  via 	-0.296	Negative
_Notizie If all goes well, we are ruined # Covid19italia # Covid19 #vaccinicovid #astrazeneca 	-0.25	Negative
"#trombose just worry for a few dozen cases that ""would be"" caused by vaccines # Covid19, but the tr ... "	-0.2382	Negative
It is demoralizing to know that they cannot take a step forward towards normality. The vaccines really make the DIFFE ... 	0.0	Neutral
#Vaccini #JohnSonandjohnson concern in the USA for a delay of the authorization to the Baltim plant ... 	-0.3182	Negative
Well the order of Commissioner #figliuolo on the priority order for #vaccines throughout Italy: over-80, fragil ... 	0.2732	Positive
i have just taken my mom to get the first #covid19 vaccine shot! so great!!! my dad is scheduled later today! 	0.8131	Positive
#newprofilepic #vaccine #pfizercovidvaccine #pfizerproud #vaccineshot #flushot #covid19 	0.0	Neutral
