Tweets	Compound	Analysis
This is embarrassing and unacceptable! Having to resort to the courts to get those vaccines. This war absu ... 	-0.8687	Negative
A year that in Wuhan were confined, and after 76 days everything was solved, without even having vaccines at the time. ELL ... 	0.2732	Positive
We are going to take the autonomous parliaments an initiative to: guarantee maximum transparency in vaccine ... 	0.25	Positive
First leave them and now the vaccines steal them. disgust and shame! 	-0.8932	Negative
# Romania is above the European average and occupies the ninth place of the European Union in doses of the vaccine ... 	0.0	Neutral
"#Unidas, we lead to the congress of the deputies ""the scandal"" of the vaccines at the # Regionmurcia. ... "	-0.4404	Negative
It turns out that the best syringes to take advantage of that vaccine head against # Covid19 is manufactured in fr ... 	0.7351	Positive
Is something about the Episcopal Conference were known against the Coronavirus vaccine? 	0.0	Neutral
I hope the vaccine has serious side effects ... in certain cases, of course. In abusive cowards, not in elderly n ... 	-0.128	Negative
A sprout affects 45 people from a residence of Girona after receiving the first dose of the vaccine 	0.0	Neutral
According to the calculator there is still a glue to put the vaccine for a while ... resilience at the top! ... 	0.2714	Positive
⚕️Apoy to the equality in the dispensing of the vaccine against # Covid19 to all the Sani staff ... 	0.0	Neutral
If all the time and energy that is put into hunting the corrupts of the vaccine would be managed in ti ... 	0.2732	Positive
#repost • • • • • •the covid-19 vaccines are an example of what can be achieved when the eu … 	0.0	Neutral
One thing is clear the vaccine has to be good because politicians do not stop casting ... # Covid19 	0.7497	Positive
how good is to see the vaccine against corona virus  that have already started in   .… 	0.4404	Positive
all those who stole the vaccines who needed it to resign #ladrons 	-0.34	Negative
Health hidden to the Autonomous Communities How the distribution of the vaccine has been decided via _Populi 	0.0	Neutral
The WHO sees increasingly likely that the Coronavirus becomes endemic and does not disappear with vaccines, more detailed ... 	0.1695	Positive
The government launches a website to solve all doubts about coreavirus vaccines, more details: 	-0.1027	Negative
Aha! Israel pays more for a vaccine and - look - more at once. By the end of March, 60% of the ... 	0.0	Neutral
have arrived 369,525 #pfizer vaccines to # Spain #estevirusloadAsonid 	0.0	Neutral
The _Dentists respond to the most common questions that we consider about the # Covid19 vaccine in this document ... 	0.0	Neutral
The great lie has not bought half of the coreavirus vaccines. that yes in the ... 	0.7783	Positive
Arrive at the Seville airport a new reclamation of vaccines against the Coronavirus via 	0.0	Neutral
#vaccineswork 	0.0	Neutral
Coronavirus: The Peterfizer Sánchez vaccine 	0.0	Neutral
⚠️ Alerting possible timions on #Murcia with the #coronavirus vaccine. _it is 	0.0	Neutral
Bring the first scores of the #pfizerbiontech vaccine against # covid19 on regular flights in some of ... 	0.0	Neutral
Here is not said but there are few countries that opt for the Russian vaccine as the first option ... here I only buy ... 	0.0	Neutral
The first vaccines against the Coronavirus reach the residences of Daimús and Miramar via 	0.0258	Positive
And what comes after Christmas. Total, if there is already a vaccine, no? We can now do what we want, which is ... 	-0.2263	Negative
This GB has given all the explanations and trying to cure and get vaccines Covid19, you and yours tasted m ... 	0.0	Neutral
Are you calling for us to pay € 10 a month to read sensational trash like this? It is no longer that the vaccine ll ... 	-0.0258	Negative
Now we will check if the vaccine is effective ... 	0.4767	Positive
The vaccine prevents seriously developing the serious symptoms of a virus .. but you can have the same as the same ... 	-0.09	Negative
"of the creators of ""a man who put on the vaccine has fallen a lightning up"" arrives ""a sanitary who vaccinated ... "	-0.3612	Negative
._Is already has 12,675 vaccines for distribution at the # Regionmurcia. #coronavirus. 	0.0	Neutral
Dot the vaccine splash? The journalists have just discovered that the sanitary ones we infect us while we work, l ... 	0.0	Neutral
But we have hope. Hope that at last in this new year there is a vaccine or a treatment for the coronavi ... 	0.7003	Positive
The vaccine against # Covid19 to 60 workers and users of. EP #MURCIA #coronavirus. 	0.0	Neutral
What didactic and how easy it is to understand the functioning of the vaccine against # Covid19 with this video 	0.4404	Positive
Guadalajara will begin to manage on Wednesday the 1,950 doses of the vaccine against # Covid19 received in E ... 	0.0	Neutral
But we are saving Christmas, well, those who have not died. Now we will see the vaccines, this only has ... 	0.6154	Positive
Are you agreed that the # Covid19 vaccine has been the new space race? Flipad with what Conseg ... 	0.2732	Positive
Hope, illusion, accompanying in the first doses of the # Covid19 vaccine to protect the more ... 	0.6705	Positive
so the woman who got the vaccine is 79. 7+9=16.  in 16 days it will be january 14. 1+4=5. 5g 	0.0	Neutral
If this do it with the accounting of deceased people, what will not do with extravine vaccines. What he gained ... 	0.3818	Positive
according to ft's covid tracker,  ranks 38th in the world in vaccines… 	0.0	Neutral
Where are the 55,000 extravired vaccines? In Spain, the distractions administered by our Spin Doctors and ... 	-0.25	Negative
The Chilean assignment of vaccines to the health personnel of Ecuador and Paraguay is key to facing the pandemic. less… 	0.0	Neutral
#vaccine and #covid19 🦠 summary  _current  _semi  _sehad 	0.0	Neutral
"The hopeful message of the creator of the Pfizer vaccine against the Coronavirus: ""The immunized do not contagian» "	0.5106	Positive
I think they will not arrive in time. If I do not have misunderstood the second dose of the vaccine is at 28 days and the maximum EFEC ... 	0.2584	Positive
The #TALENTO must be agglutinated in multidisciplinary teams around missions such as # Covid19 vaccine. it is… 	0.0	Neutral
Cuba will immunize its population against Covid-19 with its own vaccine in 6 months via _Es 	0.0	Neutral
the second doses of covid-19 vaccines have started! 	0.0	Neutral
Q bad stickers in vaccine boxes, right? 	-0.5423	Negative
"""Spectacular Madrid device to keep vaccines refrigerated"" # Covid19 # Vaccunacovid19 "	0.0	Neutral
Companies will be able to dismiss workers who refuse to put on the vaccine against the Covid-19 at what is ... 	-0.296	Negative
Because of the Covid19 and the search for your vaccine, it is very possible that results are accelerated in ARNM vaccines for more ... 	0.0	Neutral
The inept government psoe-we can: chaos with the coronavirus, chaos with vaccines and chaos with philomena ... 	-0.9022	Negative
The leader of CCOO in Valencia and other union freedings receive the vaccine rather than first line doctors or ... 	0.0	Neutral
"""while the richest countries in the world are grappling with shortages of covid-19 vaccines, some of the poorest wo… "	-0.1779	Negative
That is what time all God criticized the Sputnik vaccine and now we fall into the hands of the Russian regime of ... 	-0.1027	Negative
Protect those who protect us! #vaccineswork # Covid19 #pfizervaccine 	0.6696	Positive
Healthiness will not administer the AstraZeneca vaccine over 55 years - # AstraZeneca # Covid19 	0.0	Neutral
It is not possible to report the lack of vaccines and sabotages from the Zendal 	-0.3182	Negative
Very slow the data improvement. There is little left for the vaccine, I ask you an effort, it will not be that you give a shift ... 	0.4588	Positive
I just signed a petition for vaccines against Covid-19 to be a public good. There is nothing that justifiqi ... 	0.4404	Positive
The confidence of the population grows in vaccines against VOCID-19, more details: 	0.5106	Positive
The Astrazeneca vaccine is as effective as the Pfizer in all ages #Astrazeneca # Vaccunacovid19 	0.4767	Positive
Missing vaccines ... Very good, but qua with the #sputnikv and #sinovac ?? I will think that everything is pure capitalism and geopo ... 	0.2159	Positive
common senseMERCK will manufacture the vaccine from its historic rival Johnson & AMP; Johnson. 	0.0	Neutral
No, there have been no cases of encephalitis in the UCI of #MURCIA people who had received the vaccine against the ... 	-0.5267	Negative
I take the vaccine, I bite it, the shot. The Sevillians of the infantas. What (lack of) shame, my mother. 	-0.4767	Negative
Why do you have to wear a mask despite the vaccine? 	0.0	Neutral
Something will be doing well with the control of vaccines in Spain, when Elena and Cristina have had to pir ... 	0.2732	Positive
zero. Zero died by Covid-19 in those who have received the complete guideline of any of the vaccines about ... 	-0.5574	Negative
Tomorrow touches the first dose of the vaccine! Wewewewee. 🥳 #Vacunas # Covid19 	0.0	Neutral
So we saved four doses of the vaccine, they are all advantages. For once they will not cost us the money. Viva the v ... 	0.6786	Positive
and what is the problem at least it has not been removed from any Spanish vaccine 	-0.4019	Negative
#murcia | #villegas and senior health charges put the vaccine against # Covid19 	-0.2732	Negative
As mutations begin to occur ... it is already time to facilitate more vaccines ... 	0.0	Neutral
What Villegas says he has put it (the vaccine) because he could be put. lie   … 	0.0	Neutral
To more than one the coronavirus, and soon the vaccine, has returned (more) subnormal. 	0.0	Neutral
The double speech with vaccines: to criticize the mayors of #psoe to 'justify' to council ... 	-0.3818	Negative
With V vaccine! ✌ We have already started with the application of the #secondadois of the # Covid19 # Covid19 ... 	0.0	Neutral
Of course, that's why Andorra needs a vaccine against Coronavirus, she has to ask Spain. 	0.0	Neutral
Biocruces participates in the clinical trial of the German vaccine Curevac against the Virus Covid19 ... 	0.0	Neutral
The Spanish Insud Pharma will make vials of the AstraZeneca vaccine 	0.0	Neutral
". It considers ""especially serious"" that the Counselor of #Murcia vaccines jumping on his own protocol. ... "	-0.1513	Negative
A project of _corporate ensures that the vaccine has triggered the desire to travel from Europeans in 2021 ... 	0.4019	Positive
And meanwhile in my hospital they paralyze vaccines some groups of health personnel because it is not guaranteed that ... 	0.0	Neutral
These that also run Andorra for his hospitals and vaccines. 	0.0	Neutral
Residencia d'Avis Lillet Today has been placed second dose of the Covid-19 vaccine to all residents and ... 	0.0	Neutral
⏩ _Talave explains its experience and the importance of the vaccine to protect ourselves from # Covid19 and VO ... 	0.6249	Positive
The wife of the counselor of Murcia, Manuel Villegas, also received the coreavirus vaccine. # Covid19. 	0.0	Neutral
From Guadalajara it will contribute to the conditioning of the AstraZeneca vaccine. 	0.0	Neutral
The Mayors and High PSOE and PP charges leaving the tail of the vaccine against # Covid19 is already disptopia ... 	-0.2732	Negative
Western rich countries monopolize vaccines against # Covid19Adivinen who will leave losing ... 	0.0	Neutral
The mayor of #molinadesegura receives the #coronavirus vaccine outside the Protocol of the Ministry. ... 	0.0	Neutral
Directors of Basurto and Santa Hospitals in Bilbao are not adhere to the coronavirus vaccine protocol, and after the vaccination ... 	0.0	Neutral
Of course, as it is all over, Manuel Villegas has also got vaccine against # Covid19 for his wife. ... 	0.0	Neutral
All Extremadura has received 33,450 vaccines, this is to walk to the street, you can not consent 	-0.1695	Negative
Well, sincerely, if you are afraid of the risks of the vaccine, better q does not come out to the c ... 	0.7184	Positive
#villegas resign. Now he has to drop anyone who has taken advantage of his position to put on the vaccine. #coronavirus. 	-0.3612	Negative
Villegas resign. Will the second dose of the vaccine be administered now or will it be on Stand by? 	-0.34	Negative
Dimit the health counselor of #MURCIA after the scandal of the vaccines. _Murcia #coronavirus. 	-0.4404	Negative
Today First #Coronavirus #coronavirus vaccine prick # Covid19 #pfizer # VaccuncoVid19 #Vacunas # Yomevacuno ... 	-0.34	Negative
I'm sorry and shame that the vaccines are thrown ... to put it whoever is, whoever goes through the street, that of the bar ... 	-0.5267	Negative
Epic Crown Legacy Skin vaccine 	0.0	Neutral
That means that when the vaccine is put, it is when it is finally going to currar? 	0.0	Neutral
Oncological patients should be of the very high priority in access to the # Covid19 vaccine. Normalize the Cancenc ... 	0.0	Neutral
Arnold seems #terminator until when the # Covid19 vaccine is put 	0.0	Neutral
The politicians, unwittingly, are getting the highest campaign to promote the vaccine against # Coronavirus. ... 	0.3818	Positive
There is a parallel universe in which this Tweet by Bill Gates is a joke about vaccines and microchips 🤘 	0.296	Positive
Institutional responsibility. Let's see if the subject of vaccines # Covid19 improves as it should. This graphic show ... 	0.4215	Positive
At last vaccinated. Thank you for making it possible. # Covid19 # Vaccunacovid19 #pfizervaccine 	0.3612	Positive
It would be a good fact to know how many vaccines # Covid19 have been put in the #sitges residences, #sitgessalut 	0.4404	Positive
#yomevacuno # covid19 #pfizervaccine #digestivolafe the beginning of the end ... by res ... 	0.0	Neutral
Today it's time to put on the # Covid19 vaccine without fear and wanting to contribute to the happy bug with the maximum precautions 	0.7452	Positive
The first 1,200 doses of the modern vaccine are already in the # Regionmurcia. _com #coronavirus. 	0.0	Neutral
# vaccines24x7 !!! 	0.0	Neutral
Each person who is vaccine is a responsible act, solidarity and an aid to reach group immunization. I ... 	0.5574	Positive
"Covid-19: Johnson & Amp vaccine; Johnson demonstrates a ""lasting immunity"" in experimental tests # Coronavirus ... "	0.0	Neutral
I have been vaccinated this afternoon against the Covid19 with the Pfizer vaccine, I will add here what symptoms I am having. 	0.0	Neutral
Your team of the _eii_hgv says if to the vaccine against # Covid19! ... 	0.0	Neutral
Two vaccines to improve the health of my community. From one I receive the first dose; On the other, that of each ... 	0.4404	Positive
Vaccines train our immune system using parts of the virus, without causing disease. Each vaccine ... 	0.296	Positive
Operation of some vaccines against the Covid19 	0.0	Neutral
"""vaccine doesn't stop transmission, only symptoms"" claims are premature:(1)nobody expected vaccine to provide ste… "	0.2235	Positive
Experts explain how vaccines are developed and tested for the COVID-19 so quickly 	0.0	Neutral
"""Covid-19: Johnson & Amp vaccine; Johnson demonstrates a"" lasting immunity ""in experimental tests"" #coronavirus "	0.0	Neutral
Side effects of the vaccine: the prodigious chis # covid19 #vacuna #pfizer #elchis 	0.0	Neutral
The # Regionmurcia delays the second dose of the vaccine after detecting 14 outbreaks in residences of seniors and disabilities ... 	0.0	Neutral
The good news of the day is the number of vaccines in the last 24 hours ... almost 100mil !! This is good! 	0.7891	Positive
that a politician who was a forensic doctor decides that a vaccine is good or bad and delay his administration is crazy ... 	-0.6486	Negative
What is happening? Access to the Russian vaccine account against Coronavirus on Twitter ... 	0.0	Neutral
Any ethical problem for caring and serving residentiated and rejecting the vaccine? Ah! Of course it was not a requirement i ... 	0.2714	Positive
They in their ideal coronavirus world, think that with the vaccine automatically the bug disappears and v ... 	0.25	Positive
You want to know the administration recommendations the modern COVID-19 vaccine (administration, stability and with ... 	0.0772	Positive
"A marriage of PSOE mayors is vaccine from Coronavirus because ""Sobrada"" Dossesses Sociacats steal pasta ... "	-0.4939	Negative
There is no better than another vaccine against # Covid19 have similar efficiency and all rigorous with ... 	0.2732	Positive
hahahaha, this is more denialist than those of vaccines and coronavirus ... we are not in ... 	0.0	Neutral
Felipe, is an authentic dispensing, that vaccines have not been tested enough, that this is a matter ... 	0.0258	Positive
Cae de drawer, q n is the same as hiding them in a drawer, I said it from the first day, protocol of vaccine distribution ... 	-0.296	Negative
Let's go well, but we need more vaccines and they are sent to the CCAA according to their vaccination rhythm, as ... 	0.1406	Positive
and here tell you how mRNA vaccines work 	0.0	Neutral
i may not be down with this vaccine  % (i'm an x-files baby) but it's clear a month in that this may be the only w… 	0.5267	Positive
The vaccine against the Covid-19 is safe, free and voluntary. During 2021 it will progressively arrive at ... 	0.7351	Positive
# Covid19 modern vaccine today in it! Efficiency and security! A better image than words! for when I already ... 	0.826	Positive
Yesterday I got excited, by the arrival of the vaccine and heard the applause to the toilets. There was a lot of illusion and ... 	0.6369	Positive
This happened months ago and supports what I said from the WHO and D Nelson Mandela Q denounced it to try a vaccine with ... 	0.3612	Positive
A large summary of the clinical trial of modern vaccine against # Covid19! Great efficiency and safety! Let us get ... 	0.8745	Positive
This year we have had two pandemics the Covid-19 and the communism of the first there is a vaccine and hope ... 	0.4404	Positive
There is already the coreavirus vaccine :) is the only good thing that left us this year, now only the vaccine is missing for the f ... 	0.5719	Positive
Recommendation of health to speed up the telephone appointment for the vaccine. It is expected that mass vaccination co ... 	0.0	Neutral
Health remembers that you do not have to ask for an appointment to receive the coreavirus vaccine 	0.0	Neutral
"""to ensure that the world’s most vulnerable #people would get #vaccines amid the rush for shots""… "	0.1045	Positive
fda briefing document on j&amp;j vaccine in the trial, vaccine's overall efficacy against moderate-severe/critical… 	0.0	Neutral
On the right path, measures and vaccines have made its effect. The work of health professionals is unpayable. s ... 	0.0	Neutral
take a look at this thread.  some of the comments are staggering #covid19 #covid19vaccine #vaccines #eu #germany… 	0.0	Neutral
#ghana receives first #vaccine shipment through covax 	0.0	Neutral
covid-19 vaccine ✅#joemvacuno  #covid19 	0.0	Neutral
", against the vaccines of # Covid19: ""They are experiments without proven that they get us"" "	0.0	Neutral
They have renamed the vaccine that they will put on us to teachers. It has gone by calling Agrazeneca to be called Paquir ... 	0.0	Neutral
Congratulations on the visit to the Zendal group, industrial pharmaceutical strut for R + D + i of the GOV-19 vaccine ... 	0.5994	Positive
"Victoria April: ""There are more dead with vaccine than without a vaccine"". Another denialist lady. Every time she talks, she goes up ... "	-0.6801	Negative
It is mistaken. Authorized vaccines have been tested with thousands of volunteers. Yes they have been proven ... 	0.0516	Positive
Experts, concerned about a new variant of the coronavirus that resists more vaccines 	0.0	Neutral
it's great to provide easy access to covid-19 vaccines. most counties are so easy, people already know where to get… 	0.872	Positive
Tomorrow I will receive the vaccine against the Covid-19 in Navalcarnero. I encourage all my fellow teachers to ... 	0.5106	Positive
Experts, worried about a new variant of the coronavirus that resists more vaccines ... 	-0.296	Negative
effectiveness of first dose of covid-19 vaccines against hospital admissions in scotland: national prospective coho… 	0.0	Neutral
As soon as the Covid 19 is controlled by our vaccines, we have to go to the Plaza de la Revolución, ... 	0.0	Neutral
✅ The European Medication Agency _News recommends the authorization of the vaccine ➡️SEG ... 	0.2263	Positive
Russia offers 100 million doses of its anti-Covid vaccine 	0.0	Neutral
The vaccine inhaled against coronavirus creates antibodies and prevents infection with a dose, more details: 	0.34	Positive
8000 new doses of the #coronavirus #vaccine are due to arrive in #gibraltar via the raf this evening &amp; 2nd jabs wil… 	0.0	Neutral
. lots of facts and figures here on absolute vs relative efficiency of the 'vaccines', ie barely any difference fro… 	0.3612	Positive
the level of immune protection after one single dose of  #vaccine in #cancer patients was low. anti-sars-cov… 	0.0258	Positive
yesterday all our lab as well as many other ijc mates got the first vaccine dose in at the hgtip. thanks to the gre… 	0.6124	Positive
It's a bit joke this, right? The EU has left a lot of money in vaccines to try to alleviate this damn virus, and, ... 	-0.2323	Negative
Today thousands of Galicians will receive the first dose of the # covid19 vaccine in a massive process that, at least in my case ... 	0.0	Neutral
wto fails again (third time) to reach an agreement on covid-19 vaccines patent waiver. as we proposed here, the wai… 	0.128	Positive
i am also missing in the episode the voice of india (the vaccine factory of the world). if they have spare producti… 	-0.296	Negative
The EMA recommends the authorization of the fourth vaccine against the COVID-19 	0.2263	Positive
practical aspects of the Johnson & AMP COVID-19 vaccine; Johnson Vía. 	0.0	Neutral
Little more than 143miles vaccines in the last 24 hours. We continue with Altibajos🤷♂️. 	0.0	Neutral
_ I leave 1Explication about vaccines at this time: 	-0.0516	Negative
covid-19 vaccine astrazeneca: prac investigating cases of thromboembolic events - vaccine’s benefits currently stil… 	0.3818	Positive
In Europe, the COVID-19 vaccine from AstraZeneca-Oxford has not been withdrawn, nor in the Kingdom ... 	0.0	Neutral
Cuba could have an effective vaccine against the Coronavirus towards the end of the year. It will be called sovereign 2. ... 	0.4767	Positive
Modern has been revalued by 775% in stock from the beginning of the pandemic 🤔 #modern #modernavaccine # Covid_19 ... 	0.0	Neutral
The modern vaccine can produce the same level of antibodies against COVID-19 with half its dose via ... 	0.0	Neutral
They fall in half, the deaths for Covid-19 in the residences for the elderly, thanks to the vaccines and admini ... 	0.4404	Positive
This is the first one-dose vaccine that could reach Spain in March and accelerate immunization ... 	0.0258	Positive
A Basque old man who received the two doses of the Pfizer vaccine is contagious from the Coronavirus, but he is asymptomatic ... 	-0.1779	Negative
pfizer-biontech’s covid-19 vaccine just got a lot easier to transport and distribute  via 	0.4215	Positive
Four more deceased by Covid-19 in #navarra on the day when vaccines administered exceed the positives t ... 	0.5267	Positive
parecen buenas noticias israeli study finds 94% drop in symptomatic covid-19 cases with pfizer vaccine | article [… 	-0.2732	Negative
"""A Basque old man who received the two doses of the Pfizer vaccine is infected from the Coronavirus, but he is asymptom ... "	-0.2732	Negative
vaccines like loaves do the Russians 	0.3612	Positive
Traed the Chinese and Russian HDLGP vaccine !! 	0.0	Neutral
I have that more than assumed and ... if you think this is going to be the vaccine and forget about the virus, you are equi ... 	-0.2263	Negative
Do you give you the vaccine with the purchase of the entrance for a concert? 	0.0	Neutral
European Agency of the Medicine clarifies that they have not yet received the petition for Sputnik V, the Russian vaccine contr ... 	0.2263	Positive
Second dose of the #pfizer vaccine set. One thing less than doing in 2021. And now to continue curing. # Tsid ... 	0.0	Neutral
It is interesting (try to) understand how the AZ vaccine works there for over 60 but not in Europe. ... 	0.2144	Positive
He does not know how vaccines work and boast of it 	0.0	Neutral
"A few days ago the Kukas celebrated that ""Chile asked us vaccines."" Chiques, are a horror joke "	0.296	Positive
The PEG could be the assumption causing the allergic reactions caused by the Pfizer-Biontech Contact vaccine ... 	-0.296	Negative
The first vaccines against the coronavirus will be put on Sunday in Malaga in the residence of El Palo and in the ... 	0.0	Neutral
Coronavirus Málaga | The first vaccines against the Coronavirus will be put on Sunday in Malaga in the residence of ... 	0.0	Neutral
why are we not testing the whole population of the uk? essential to our safety as the vaccine is still 6 months awa… 	0.4215	Positive
✌✌Legaron 300 thousand doses that are part of a total of 20 million vaccines that Argentina bought the government ... 	0.0	Neutral
Well, I'm sure he does not grab the Covid19 but they could have invented a vaccine that he needed less dose 🤣 	0.296	Positive
You have the typical sister-in-law that for #Nadal comes out with the story that vaccines will modify our DNA to create h ... 	0.2732	Positive
The most vulnerable is worth, but the first to vaccinate and not give up that vaccine to others are going to be nuns and cures for ... 	-0.0038	Negative
New disks of contagion for scarce hours that the coreavirus vaccine arrives in Spain 	-0.4588	Negative
"The Pope asks us to guarantee the vaccine ""to the most vulnerable"" in a Basilica of St. Peter empty by the coronavir ... "	-0.2484	Negative
Completely agree with this tuit at 100% father, because with the vaccine against # Covid19 we must know if it is 10 ... 	0.4201	Positive
one vaccine side effect: global economic inequality 	0.0	Neutral
ETB records the truck that transports the expected vaccine 	0.0	Neutral
I only tell you that all those who received the smallpox vaccine in 1798 are dead. # therelodejo # covid19 	-0.6486	Negative
And where the pussy are the vaccines? Donaten!? 	0.0	Neutral
Search, look for your first aid kit and you will be surprised by the result ... (dedicated to anti-vaccine strands) ... 	0.2263	Positive
More than 7 million vaccines set. Almost 5 million with a single dose and more than 2 million immunized 	0.0	Neutral
Worse than Lombardia, in terms of vaccines put on, only Liguria is doing it. What a disaster !! 🤦♂️ 	-0.8309	Negative
The Kenya Peasant also expects the coreavirus vaccine via _pais 	0.0	Neutral
europe could use more covid-19 vaccine, too. just saying. 	0.0	Neutral
It seems that China has zero interest by massively vaccinating its population.Da the vaccine, follow with its polite ... 	0.4588	Positive
#covid19 #vaccine 	0.0	Neutral
Great night dealing with the subject of the #Astrazeneca vaccine. Personally I see more benefits than ... 	0.7902	Positive
Safety report of vaccines against # Covid19 in special AstraZeneca. ... 	0.6705	Positive
#covid19 vaccines vs variants—determining how much immunity is enough | | jama network 	0.0	Neutral
Yes, but a contraceptive pill leads to a lot of years in the market, the # Covid19 vaccines ... 	0.2144	Positive
coronavirus: truths, lies and controversies about vaccines | Blog made | the country 	0.0	Neutral
israeli study finds 94% drop in symptomatic covid-19 cases with pfizer vaccine  web 	-0.2732	Negative
Euskadi receives a new game of #Pfizer vaccines engaged by. 16,575 new doses that have been ... 	0.4019	Positive
In case there is any doubt about or not vaccines 	-0.3612	Negative
I am surprised that we still have people questioning vaccines ... 	0.128	Positive
Andalusia has managed 458,143 vaccines, 83.9% of the total according to ◾hay 191,021 people with 2 d ... 	0.0	Neutral
"Tanzania, the country that rejects the vaccine against the Covid-19 and says that ""there is no coronavirus"". "	-0.6597	Negative
covid-19 reference vaccines treatments epidemiology 	0.0	Neutral
Study collected by _pais made by clalit, Sociosanitary mutual of #ISRAEL on the effectiveness of # vaccine ... 	0.0	Neutral
They also came to greet vaccines? 	0.3182	Positive
fbi investigating covid-19 vaccine 'tampering' after aurora says employee intentionally removed vials from fridge,… 	0.0	Neutral
Coreavirus vaccine in Murcia: health injects less than a thousand vaccines a day despite already having more than 25,600 | the… 	0.0	Neutral
makes #vaccine timetable recommendations. experts advising the world health organization have recommended that… 	0.2023	Positive
I am one of the lucky ones that tomorrow will put the # Covid19 #yomevacuno vaccine I hope it is the beginning of the nightmare. 	0.6908	Positive
Well, we already have a gift from kings, second vaccine against the Covid-19 in the European Union. 	0.6124	Positive
We have _tx vaccine in Europe Remember: Modern Mode-RNA 🤓 	0.0	Neutral
Thank you for this message about vaccines. Madrid are confident in the good make of this gob ... 	0.8225	Positive
Last minute: The Europe of the Medicine (_News) gives green light to the vaccine against the # Covid19 of modern ... 	0.0	Neutral
The European Medication Agency approves the modern vaccine against the Coronavirus 	0.4019	Positive
For all those who (understandably) doubt the process of creating the vaccine against # Covid19 and their s ... 	-0.0772	Negative
While these miserable children of Satan give millions of vaccines against coronavir ... 	-0.4939	Negative
These vaccines essentially train our immune system how to produce a protein that causes a response ... 	0.296	Positive
Infographics about vaccines approved against the Covid 19 	0.4215	Positive
Another vaccine available in EU, ... Modern _tx #clinicaltrials #vaccination #covid ー 19 	0.0	Neutral
Let's see when they approve the Oxford vaccine. 	0.0	Neutral
Bona News The European Medicine Agency approves the modern vaccine against coronavirus 	0.4019	Positive
how the ultra-wealthy could try to cut in line for the covid-19 vaccine  vía 	-0.2732	Negative
ok, thank you. Until what I've been seen, they do not say anything that these vaccines were created, i ... 	0.6908	Positive
Paraphrasing Groucho Marx: I have a vaccine, but if you do not satisfy you, do not worry, I have another. 	-0.0286	Negative
European Commission conditionally approves the COVID-19 vaccine of modern 	0.4019	Positive
78506 vaccines today. It is not a bad rhythm. Because only here is not vaccinated on Sunday🤦♂️ 	0.431	Positive
Well, we already have in Europe the second vaccine against Coronavirus. The government already made its task by buying doses and ... 	0.2732	Positive
Another more error of health, I hope you do not also get confused with the vaccine and are putting the anti-tree .... Canaria ... 	0.2189	Positive
A detail, the #Modern vaccine also presented an efficiency of 90.9% in participants with #RESGO DE COVID-19 grav ... 	0.3612	Positive
More about MRNA vaccines against # Covid19 for patients with # EAS➡️ from the ➡️no CDC security data ... 	0.34	Positive
What do we do not vaccinate at all hours until the vaccines available? 	0.0	Neutral
The European Medication Agency approves the authorization of the modern vaccine via _es 	0.4019	Positive
Lack of forecasting vaccines despite the time we have waiting for them 	-0.3182	Negative
important!! Attention to the side effects of the vaccine 	0.3365	Positive
Without a doubt, the effects of Covid-19 in some US individuals have been terrifying! Hopefully a good vaccine ... 	0.5109	Positive
Pair q then l inept demanding enough vaccines, is that it is of sentence and sadness this government of the grudge and ... 	-0.5423	Negative
