Tweets	Compound	Analysis
given the significant delays to the eu vaccine rollout, i do not see how ⁦⁩’s target of 70% of the eu p… 	0.2023	Positive
"""astrazeneca has warned the eu that there will be delays to its delivery of covid-19 vaccines""#coronavirus #brexit "	-0.2732	Negative
petition: do not rollout covid-19 vaccine passports 	0.0	Neutral
uk government: all pharmacies should to be able to play a part in the uk's covid-19 vaccine programme - sign the pe… 	0.34	Positive
so if people refuse how are we gonna stop the spread ?? just asking #covid19 #covid_19uk #vaccine … 	-0.6154	Negative
"doesn't supirise me there's plenty of morons refusing the vaccine in a town like northampton. ""don't put that nee… "	-0.3612	Negative
#vaccine #vaccinestrategy #covid19 	0.0	Neutral
so i'm hearing that the vaccine might not stop lockdown, so what's the plan then? because we can't stay locked up f… 	0.2235	Positive
helpful!uk government: all pharmacies should to be able to play a part in the uk's covid-19 vaccine programme - si… 	0.4003	Positive
#vaccine #pfizervaccine #fivenotsix #covid19 	0.0	Neutral
the best and most emotional start to a saturday i’ve had for a long time. took mrs g to get her covid-19 #vaccine.… 	0.7264	Positive
can’t but help think that giving #vaccine as stated by pfizer might have been the right thing to do 🤔🤔. hope the lo… 	0.8885	Positive
uk  government confused, surely not 🤷🤦...#vaccine #covid19 #digitalhealth #nhs covid vaccine: 'confusing'… 	0.1531	Positive
who else fears another bojo govt cock-up coming! #covid19 #covid19uk #vaccinestrategy #pfizervaccine 	-0.4753	Negative
fact check: claim scotland's covid-19 vaccines aren't reaching gps quickly enough  it’s not… 	-0.1511	Negative
actually this should be phrased ‘the gap between #covid19 #vaccine doses should never have been doubled’ this had n… 	0.0	Neutral
covid-19 vaccine safe for young women 	0.4404	Positive
had my #covid19 #vaccine 	0.0	Neutral
"does any other vaccine come with ""papers""? "	0.0	Neutral
gap between covid-19 vaccine doses should be halved says bma 	0.0	Neutral
uk government: all pharmacies should to be able to play a part in the uk's covid-19 vaccine programme - assine a pe… 	0.34	Positive
"What about the ""leftovers"" of the vaccines reminds me of this. # Covid19 "	0.0	Neutral
off to get my covid-19 vaccine  being chauffeured by hubby!  #shortsleeves ❄️❄️❄️ #top… 	0.0	Neutral
covid-19: senior doctors urge medical chiefs to halve the wait between doses of covid-19 vaccine 	0.0	Neutral
my grandparents, who are 78, had the covid-19 vaccine today. and they are totally fine, as i knew they would be. 	0.2716	Positive
since i had my first covid-19 vaccine. i had 6 phone calls asking if i want one. sometimes they are looking for o… 	0.0772	Positive
this is great, the #nhs are smashing it .but. this is five million people who have had 1/2 a vaccine, they are… 	0.6249	Positive
presumably the govt has cleared any potential legal difficulties that might arise from delivering the vaccine in a… 	-0.0772	Negative
first dose of covid-19 vaccine for rob  (@ salvation army lower earley in earley, england) 	-0.7003	Negative
