Tweets	Compound	Analysis
#johnson orders ministers to reopen schools as covid-19 cases drop – the telegraph 	-0.2732	Negative
 , if this credit card does in fact exist, can you throw in a block of cheddar with each vaccine ?? 	-0.168	Negative
immunogenicity of first dose #sarscov2 vaccine following #covid19 infection is enhanced ++ makes total sense -&gt; opp… 	0.0	Neutral
mathematical models and experimental studies point to the possibility that for some diseases and some vaccines, imm… 	0.0	Neutral
starmer = captain foresight.johnson = captain slow 	0.0	Neutral
great to hear local people share their stories on getting the covid-19 vaccine - staff from  are doing an ama… 	0.743	Positive
covid-19 vaccine shows promise against uk's new variant: covid-19 vaccine shows promise against uk's new variant ..… 	0.5574	Positive
novavax covid-19 vaccine more than 89 percent effective in uk trial: among the hiv-positive, efficacy was 49 percen… 	0.4767	Positive
just got my first covid vaccination, and booked in for my booster in 2 months #getvaccinated #vaccine #covid19 	0.0	Neutral
the people with learning difficulties should have a higher priority in the vaccine your 6 times more likely to die… 	-0.296	Negative
important discussion of potential cost of delaying 2nd pfizer vaccine dose 	0.2023	Positive
uk approved covid-19 lateral flow tests available now to order. ✔️ for large volumes ema… 	0.4215	Positive
‘it disgusts me’: how a wealthy couple lied to get a vaccine meant for indigenous people 	-0.4939	Negative
73 year old dad and 70 year old mum getting their covid-19 jabs tomorrow. their area (east kent) has had some sig… 	0.0	Neutral
happy to spread awareness around the importance of taking the vaccine when offered. thank you to _nhs for a ver… 	0.8271	Positive
not johnson fault. sage would have us locked up indefinitely but as it stands the people won't obey the guidelines… 	0.1603	Positive
deaths caused by the vaccine? what is happening? 	0.0	Neutral
first covid-19 jab done. seriously impressed with smooth running of entire process!  	0.4003	Positive
_d123 _  it’s quite funny that people don’t realise that the covid-19 vaccine has massively… 	0.4927	Positive
appalling behaviour.it disgusts me’: how a wealthy couple lied to get a vaccine meant for indigenous people	-0.6908	Negative
coronavirus live vaccine updates as 40 million doses on order  	0.0	Neutral
but the vaccine will still prevent serious illness and death, so why is this even news?mainstream media are entir… 	-0.8807	Negative
and nearly 3,000 of these deaths were in care homes, when the majority of residents have had their first jab...numb… 	0.4939	Positive
well happy, just had a email giving me the appointment for my first covid19 jab this saturday morning.over the moo… 	0.802	Positive
looking forward to this starting! #rrn #vaccine  	0.0	Neutral
pleased as chair that  #supplychain team are supporting the #uk &amp; #gibraltar in the #covid19 #vaccine r… 	0.7003	Positive
pfizer ....is expecting £15 billion in sales and £billions in profits from the covid vaccine .... .this is shameful… 	0.4404	Positive
#vaccine done  #covid19 #astrazeneca #nhs  you are amazing 	0.5859	Positive
apartheid israel denying covid-19 vaccines to palestinians equal access to covid-19 vaccines: who is responsible… 	-0.34	Negative
thank you alison. so much work went into making the vaccine available to protect breastfeeding parents, it is vital… 	0.6249	Positive
that’s great but no one is going to take a russian vaccine are they?  	-0.0644	Negative
if the vaccines aren’t going to be that effective i suppose it’s time to adopt the zero covid strategy that… 	0.5859	Positive
had my 1st covid-19 vaccine today. i feel fine aswell. #covidvaccines #covidvaccination	0.2023	Positive
new: as uk johnson government is accused of ignoring evidence that delaying second dose of pfizer coronavirus jab f… 	-0.5994	Negative
very thankful to receive my first round of the covid-19 vaccine so i can continue working with my patients safely… 	0.6115	Positive
the responsibility lies wholly with boris johnson. 	-0.4215	Negative
poor ole capt tom rip stay at home ppl this #virus ain’t having a laugh you know. #covid19 #covid19uk #covidvaccine #captaintom	0.128	Positive
end covid-19 vaccine apartheid! add your voice to millions of people all around the world: call on the uk governmen… 	0.0	Neutral
3 days macron ago popping at anglo-saxon approach to vaccines. now he’s full of praise. girouette. … 	0.5574	Positive
z list celebrities are getting trained up to administer #covid19 vaccines in the uk. i hope mine's not being admini… 	0.4404	Positive
vaccinating our older population with first dose of vaccine has been priority of  led by  the co… 	0.0	Neutral
ending lockdown + false vaccine confidence == lots more deaths 	0.5106	Positive
exciting covid-19 vaccine news oxford uni says their vaccine produced with az, may have a substantial effect on t… 	0.6124	Positive
boris johnson: *still leaves borders wide open 12 months into the pandemic*#covid19 mutations in the #uk: 	0.0	Neutral
is anybody else making a note of all these things for the next time boris johnson tells us he “did everything he co… 	0.0	Neutral
the astrazeneca vaccine news coming out today is just amazing.  	0.5859	Positive
  brexiteers...this is what very high quality oxford vaccine science can do. these are s… 	0.0	Neutral
 my dad had it 2 weeks ago, he's 81. no side effects so far. but i won't have it because covid-19 has a 9… 	-0.1531	Negative
dear ursuladespite best efforts the #oxfordvaccine rocks even more now, so we’re putting the price up.your sinc… 	0.7783	Positive
my grandmas finally had her coronavirus vaccine letter and the nhs website is down 🤦‍♀️	0.0	Neutral
he must be wrong. pa are saying the vaccines are just materialising out of thin air. they wouldn’t lie, of course. 	-0.4767	Negative
my brother now has his covid vaccine booked for tomorrow. its a good week for my mother's stress levels ‍… 	0.0258	Positive
johnson is running scared, very scared. for a 1 day hearing to defend his covid19 related contracts he has spent £2… 	-0.7003	Negative
#covid19 #vaccine #captaintommoore said #jfdi 	0.0	Neutral
while we rightly celebrate the roll out of vaccines to save lives, remember it’s our publicly owned, controlled and… 	0.7845	Positive
coronavirus latest news: single dose of oxford vaccine prevents hospitalisation with covid for 12 weeks, trial find… 	0.0772	Positive
the vaccinations for covid-19 have begun. when i’m offered the vaccine, i’ll get it. #wearescotland	0.0	Neutral
with mutations of #covid19 threatening society which #vaccines are rolled out, please stay home to save lives 	0.2732	Positive
this is excellent vaccine news. #astrazeneca seemingly reduces transmission of #covid 	0.5719	Positive
the fabulous  tells the story of a #covidvaccine #volunteer so eloquently &amp; honestly. this blog is a must-re… 	0.7693	Positive
really useful information being shared about the covid-19 pandemic and to learn more about the vaccine - highly enc… 	0.6801	Positive
if you only read one twitter thread today today read this. #covidvaccine #novaccinetrialdeaths 	0.0	Neutral
this evening, i have been mostly administering the pfizer mrna vaccine directed against the novel coronavirus sars-… 	0.3182	Positive
opinions gathered on &amp; off line. uk advice on vaccine timing ranges from 2 wks before ocre &amp; anytime after, to 6 wk… 	0.0	Neutral
update on russia’s covid vaccine (sputnik v): “this interim analysis of the phase 3 trial of gam-covid-vac showed 9… 	0.0	Neutral
