Tweets	Compound	Analysis
pfizer will ship fewer covid-19 vaccine vials to account for ‘extra’ doses 	0.0	Neutral
the south african coronavirus mutation can infect multiple times, could hamper vaccinea new study reveals that a… 	0.0	Neutral
Question to #Covidioti: if for the influence, which always #coronavirus is, every year the new vaccine comes out for ... 	0.0	Neutral
_Interist question to #Covidioti: if for the flu, which always #coronavirus is, every year the vaccine is coming ... 	-0.3818	Negative
Question to #Covidioti: if for the influence, which always #coronavirus is, every year the new vaccine comes out ... 	0.0	Neutral
"While there is the ""war"" on the supply of vaccines in a socialist country under the embargo of # Americans and of the villages ... "	0.0	Neutral
He developed a vaccination tracker for # Covid19 in the world for vaccines currently have ... 	0.0	Neutral
ten reasons why we got covid-19 vaccines so quickly without 'cutting corners' | adam finn 	0.1615	Positive
Coronavirus, perfume: on vaccines ready for information campaign # News ... 	0.3612	Positive
I vaccine, indeed: I have vaccinated! #vaccineday #yesvax # covid_19 #coronavirus #aspalermo @ vil presidium ... 	0.0	Neutral
Daily cazzeggement without alarmism #coronavirus #lockdown # 29ditere #covid #vaccinocovid # vaccine ... 	0.0572	Positive
Why have they been able to develop so many vaccines in a short time ?? for good peace of #novax and # constructors, ... 	0.7757	Positive
"Coronavirus vaccine, the announcement of the Spallanzani: ""Six months and we are ready"" Via "	0.3612	Positive
The bad weather that stops the vaccine in the Pfizer trucks that has not come to start wondering that no ... 	-0.743	Negative
"I reiterate that as soon as possible, and the ""British"" vaccine is available, which most convinces me, I want to? "	0.3729	Positive
Tomorrow I will do the vaccine. But the template I will take it for a long time #Covid ー 19 #Coronavirus #Vaccinocovid 	0.0	Neutral
All FAQs and fake news on the Anti Covid-19 vaccine. 	-0.6597	Negative
Before pissing off with #germany because he has bought additional vaccine doses independently, it would be worth ... 	-0.2023	Negative
So there are people who heavily offend the nurse who made the vaccine ... but ugly demented #novax #novaccinoainovax # Covid19 	-0.7227	Negative
just in: #vatican lays out 20 points for ‘universal &amp; fair destination of #vaccines’joint venture of covid-19 com… 	0.3182	Positive
The vaccine against SARS-COV-2 is risky for the #Celiaci? 	-0.2023	Negative
but how? But #eluca then? #vaccine 	0.0	Neutral
"If instead of the term ""vaccine"" we used the word ""care"" there would be less controversy. #COVID-19 "	0.0	Neutral
kamala harris suddenly changes her mind on covid-19 vaccine after doubti...  - interessante,… 	0.0	Neutral
I would put the vaccine against the Covid-19. And if you don't want to do it I would make you pay 70% more ... 	-0.1586	Negative
In terms of #novax and scallion against those who have already received the vaccine ## against the # Covid19. This is science, mic ... 	0.0	Neutral
Or the vaccine was already ready before they put around the Covid-19 	0.3612	Positive
Still a cardiac arrest after the administration of the Covid19 vaccine? 	-0.34	Negative
#iosonovaccinatapena I was asked to do the vaccine for personal and community responsibility I accept ... 	0.3818	Positive
today i got my #covid19 vaccine.i have never been happier ☀️ 	-0.4168	Negative
