Tweets	Country	Compound	Analysis
Risk of rare blood clots from J&amp;J vaccine • Overall: 1.9 cases per 1 million people • Women ages 18 to 49: 7 case… 	ES	-0.2732	Negative
_Zaragoza_ Segunda consecuencia, Spain six points	ES	0.0	Neutral
_anguita @_Vale_versatus_ Humor negro 	ES	0.2732	Positive
_Motoki BUNNY! 	ES	0.0	Neutral
_pirolo Babosa's team	ES	0.0	Neutral
 _w   _j   True, thank god it wasn't serious	ES	0.7665	Positive
  _j   One thing has nothing to do with the other, keep chasing… 	ES	0.0	Neutral
 _j   I know I just didn't sleep to watch the game and saw all that… 	ES	0.0	Neutral
 _j   I  slept 5 hours to watch the game (4:30 am spanish time) just to… 	ES	0.0	Neutral
_j   He got poked in the eye. The fuck you do when someone deepthroat your eyesocks? Laugh?	ES	0.1179	Positive
   I thought that the UK was already vaccinated and restrictions were not needed	ES	0.0	Neutral
 I see, not sure that's better than the planning based on age, I like that my grandparents are all vac… 	ES	-0.2187	Negative
 Oh absolutely, the EU has taken a giant L on this as compared to the US or UK. I don't think anyone o… 	ES	0.0	Neutral
Daming ganap this day- Got my Pfizer vaccine- Gear shopping for my bikeTapos eto na....- School ActivitiesHays matatapos na din toh	ES	0.0	Neutral
  That is the recommended period by Pfizer-BioNTech.Maximum recommended period for Astra-Z… 	ES	0.3818	Positive
 But i don't think aabot yung remaining pfizer stocks till tom. If ever half day tom astro pfizer. Hapon astra.	ES	0.0	Neutral
 Ma'am, if may matira na pfizer today Astrodome will be pfizer if may matira today. The rest of the sites astra.	ES	0.0	Neutral
 For today Sunday - pfizer. All sites astra.	ES	0.0	Neutral
   Astra and sinovac. And some pfizer.	ES	0.0	Neutral
In Spain, under-60s with one AstraZeneca dose may choose between two options for second shotA bioethics committee… 	ES	0.0	Neutral
   David, Pfizer using the same statistical sleight-of-hand to promote their… 	ES	0.3818	Positive
I’M A PFIZER BOY!#vaccinate 	ES	0.0	Neutral
Thrombocytopenias in UK for AstraZeneca (Vaxzevria) top vs Pfizer (Comirnaty) bottom from [PDF]… 	ES	0.2023	Positive
#ToxicologyReports Safety of COVID-19 vaccines administered in the EU: Should we be concerned?… 	ES	0.4215	Positive
  Salamat po sa national government. They made pfizer happen.	ES	-0.5574	Negative
_dthird  Sir 1. If pfizer po dapat the site is astrodome. That's the doh approved site for p… 	ES	-0.2023	Negative
 _sapphire Pfizer is done in astrodome for all registered there till supply last. Yung po ang doh approved site for pfizer.	ES	-0.2023	Negative
Got my 1st dose of covid vaccine!!! Buti pfizer nabigay sakin. 	ES	0.0	Neutral
#Spain agrees to give #Pfizer second jabs to those under 60 who had a first of #AstraZenecaA  trial in… 	ES	0.2023	Positive
#Spain #health study shows #Pfizer and #AstraZeneca vaccine mix gives better COVID protection than two AstraZeneca… 	ES	0.4404	Positive
Ma'am, i told them to call you again. May mga nag no show for their pfizer schedule i told them substitute po kayo.	ES	-0.8074	Negative
 Strictly speaking, neither the AZ vaccine, nor the Pfizer vaccine have been licensed at all: they’ve… 	ES	0.0	Neutral
_imau   I don't know. I can't speak for other lgu. Tayo we're merely following the guid… 	ES	0.0	Neutral
 I had Pfizer and was completely fine. Very slightly sore arm the next day but hardly something to complain about	ES	-0.4679	Negative
#Spain confident of youth vaccinations by July thanks to new Pfizer delivery    	ES	0.7269	Positive
 No, thanks	ES	0.1779	Positive
 They wouldn’t give me the AstraZeneca. Don got that, but I guess at the moment in Malaga, they are… 	ES	0.0	Neutral
#Janssen delivers only 410,000 of the promised 5.5million second-quarter doses of #COVIDVaccines to #Spain's… 	ES	0.3612	Positive
_roger I live in a different country to my kids and so travel is paramount to me. I have zero intention of tak… 	ES	0.0	Neutral
Two hours post vaccination. I feel fine. Very minor not even really noticeable pain at injection site. 🤞 I continu… 	ES	-0.4173	Negative
 the  people have done a truly fantastic job of ensuring that the injection sites are o… 	ES	0.8225	Positive
 I’m not worried about the injection. I am not injection phobic. But I’d rather NOT have Don’s reac… 	ES	0.4168	Positive
That smile though  Nae Sarang~but why are there 3 Leeteuks? AHAHAHA #은혁 #Eunhyuk #Hyukjae 	ES	0.3612	Positive
Am I the only one who thinks his mole is very cute and charming? #은혁 #Eunhyuk #Hyukjae 	ES	0.8104	Positive
    _j  #lingsquad one day you will notice me hahahahahaha my bro	ES	0.0	Neutral
Just to clarify #은혁 #Eunhyuk #Hyukjae 	ES	0.0	Neutral
Yes my baby is very cute #은혁 #Eunhyuk #Hyukjae 	ES	0.7178	Positive
I see no difference#은혁 #Eunhyuk #Hyukjae 	ES	-0.296	Negative
  _Man     … 	ES	0.0	Neutral
intak post j’attend	ES	0.0	Neutral
Yeye's forehead to bless your feed 🥰🥰#YESUNG_Beautiful_Night #YESUNG 	ES	0.4215	Positive
You're only sitting but my heart is beating like crazy, waaah Lee Hyuk Jae Thank you for this!… 	ES	-0.2244	Negative
    _j  seriously #lingsquad no one who is not a great p… 	ES	-0.7347	Negative
    _j  Very congratulations 🥳🥳🥳	ES	0.6361	Positive
 Notice how he got some of the photos from fan pages/posts 🥺 He really stalking us 🥺🥺	ES	0.3182	Positive
Awesome	ES	0.6249	Positive
      You missed them having to make a formal apology to him then. 	ES	-0.25	Negative
“Unless a man is master of his own soul, all other kinds of mastery amount to little.”J.J.	ES	0.0	Neutral
So we all gonna just act like J.Cole’s newest album wasn’t trash?	ES	0.3612	Positive
“When it comes to investing, doing less often provides better results. Let the operators that are stewards of your… 	ES	0.3892	Positive
Wah this song played next!  Don't get me started with this song #YESUNG #YESUNG_Beautiful_Night… 	ES	0.4003	Positive
Waaaaah this song 🥺So soothing, healing 🥺 Makes me wanna call my old band mates and perform 🤣Truly this album can… 	ES	0.3182	Positive
There's this sun ☀️☀️ Looking so fly and shining brightly as ever #SUPERJUNIOR #SuperJuniorDnE #DONGHAE 	ES	0.3612	Positive
"""Deal with it"""	ES	0.0	Neutral
se viene maria becerra ft. j balvin, i’m shhhaking ✨	ES	0.0	Neutral
_Velocity__ sAMEEEEEE	ES	0.0	Neutral
 A treat for young children and mum's alike I'm sure!	ES	0.6476	Positive
 Yeah I like him a lot too, just wasn't a big fan of that particular film, very naff voice over I se… 	ES	0.4094	Positive
 Haven't seen that film in years. Remember it as being far superior to the newer Tom Hardy one though.	ES	0.7351	Positive
 From there I think you should continue re-imagining classic Bob Hoskins movies. Who Framed Roger Ra… 	ES	0.0	Neutral
'The Spider and the Fly'. Photographed by J.D. Cress, 1901. 	ES	0.0	Neutral
Walk Me Home 	ES	0.0	Neutral
"Lucy describes an upcoming project as ""if American Gods met the Long Good Friday"" - yes please! "	ES	0.8016	Positive
_cressman _mantis      _Express… 	ES	0.0	Neutral
 Real good.	ES	0.4404	Positive
Woop woop! Get on your LCS to get this on the shelves! 	ES	0.0	Neutral
Muddy ft Lednek, Father J, Fishman Jr &amp; Paradise Vibes ft Selector Dre - Club Nation Fri 30 Apr	ES	0.6369	Positive
 Have done it.	ES	0.0	Neutral
"  Either that or ""Send money"". Hasn't been settled on yet."	ES	0.0	Neutral
Feds want more input on materials with ‘high-profile safety concerns’  	ES	0.4767	Positive
_mantis _cressman      _Express… 	ES	0.0	Neutral
I don't care what other people say about him,  is a wonderful human who goes above and beyond in he… 	ES	0.2668	Positive
 Hello 	ES	0.0	Neutral
 Something with the letter J pls	ES	0.0772	Positive
Nerviosete	ES	0.0	Neutral
Road to 1M Let's Go!Sunrise:  #SUPERJUNIOR  	ES	0.0	Neutral
  Looks incredible!	ES	0.0	Neutral
Great podcast! 	ES	0.6588	Positive
Yeye looks so happy uy Tom and Jerry tandem FTW! #SUPERJUNIOR #Yesung #Eunhyuk 	ES	0.8679	Positive
  Omo he's glowing 	ES	0.0	Neutral
I feel bad for the camera man 🤣BUT WHY YOU GOOTA BE SO CUTE HA?  #EUNHYUK #Hyukjae  #은혁 #은혁버블 #SUPERJUNIOR… 	ES	0.7481	Positive
It’s viernes bitch 	ES	-0.5859	Negative
 Thank you for existing  We Love you~ (っ˘̩╭╮˘̩)っ❤️ 	ES	0.7717	Positive
/j (joke) — /mwl (my whole life) 	ES	0.0	Neutral
  I think they'll struggle to give away tickets to Lost Prophets	ES	-0.5574	Negative
J.Cole understood the task ⚡⚡⚡	ES	0.0	Neutral
_M_Grande Can relate.	ES	0.0	Neutral
 _P_Green Not doing my age yet	ES	0.0	Neutral
Hala anong episode ulit to? j/k#LeeSeungGi goosebumps It was me who said that the kissing scene felt unnecessa… 	ES	0.5719	Positive
 Paris I have tried to reach out to you a few times. Would love to work with you. Please message me if you have a chance. Thanks x	ES	0.8885	Positive
 I thought I had to use the @ to @ you? I'm so bad at this internetting	ES	-0.6696	Negative
 Love Moana	ES	0.6369	Positive
I  was  about  to sleep  but then I saw  this 🤣🤣🤣  Lol  doon  sa  sunog XD #EUNHYUK #Hyukjae  #은혁 #HEECHUL… 	ES	0.9001	Positive
 No, thanks I was just thanking you for the help you gave me	ES	0.5267	Positive
The bar....THE BAR!!!!! 	ES	0.0	Neutral
